Date,StockCode,StockName,ValueFormatted,ChangeDayFormatted,Change12MFormatted,VolumeFormatted
2025-03-12T13:22:00,VALE3,VALE ON ED NM,"53,47","-1,78","-5,15","1,64 B"
2025-03-12T13:22:00,PETR4,PETROBRAS PN N2,"34,29","0,55","13,09","1,32 B"
2025-03-12T13:22:00,EMBR3,EMBRAER ON NM,"73,55","0,45","177,54","773,78 M"
2025-03-12T13:22:00,ITUB4,ITAUUNIBANCOPN EJ N1,"32,55","-0,15","2,34","715,33 M"
2025-03-12T13:22:00,ABEV3,AMBEV S/A ON,"13,06","1,55","6,98","633,22 M"
2025-03-12T13:22:00,BBDC4,BRADESCO PN EJ N1,"11,47","0,17","-11,66","626,75 M"
2025-03-12T13:22:00,WEGE3,WEG ON ED NM,"47,39","1,69","27,88","523,42 M"
2025-03-12T13:22:00,RDOR3,REDE D OR ON NM,"27,88","4,02","13,22","455,06 M"
2025-03-12T13:22:00,EQTL3,EQUATORIAL ON NM,"31,67","1,66","-2,70","439,26 M"
2025-03-12T13:22:00,B3SA3,B3 ON NM,"10,40","0,00","-16,92","416,44 M"
2025-03-12T13:22:00,MGLU3,MAGAZ LUIZA ON NM,"8,54","2,89","-57,72","414,47 M"
2025-03-12T13:22:00,PETR3,PETROBRAS ON N2,"36,88","0,82","18,42","386,79 M"
2025-03-12T13:22:00,SBSP3,SABESP ON NM,"96,18","0,25","26,61","377,1 M"
2025-03-12T13:22:00,RENT3,LOCALIZA ON NM,"30,18","0,53","-41,66","356,33 M"
2025-03-12T13:22:00,TOTS3,TOTVS ON NM,"33,20","-0,89","7,92","353,01 M"
2025-03-12T13:22:00,SUZB3,SUZANO S.A. ON NM,"55,02","-0,19","-4,35","349,83 M"
2025-03-12T13:22:00,ITSA4,ITAUSA PN EJ N1,"8,81","-0,67","-3,24","349,46 M"
2025-03-12T13:22:00,PRIO3,PETRORIO ON NM,"37,07","-0,24","-21,95","336,24 M"
2025-03-12T13:22:00,ELET3,ELETROBRAS ON N1,"39,08","0,23","-7,46","295,15 M"
2025-03-12T13:22:00,RADL3,RAIADROGASILON NM,"18,06","2,09","-31,56","285,91 M"
2025-03-12T13:22:00,JBSS3,JBS ON NM,"33,10","3,08","58,74","276,99 M"
2025-03-12T13:22:00,LREN3,LOJAS RENNERON NM,"11,97","2,30","-17,19","252,37 M"
2025-03-12T13:22:00,BBSE3,BBSEGURIDADEON NM,"38,42","-0,41","28,57","249,2 M"
2025-03-12T13:22:00,GGBR4,GERDAU PN ED N1,"16,65","-0,89","-3,24","245,47 M"
2025-03-12T13:22:00,AZZA3,AZZAS 2154 ON NM,"24,11","-8,77","-59,22","214,85 M"
2025-03-12T13:22:00,VBBR3,VIBRA ON NM,"16,28","-0,91","-28,24","191,71 M"
2025-03-12T13:22:00,CCRO3,CCR SA ON NM,"11,63","0,86","-14,50","189,3 M"
2025-03-12T13:22:00,POMO4,MARCOPOLO PN ED N2,"6,56","-1,20","-0,63","186,39 M"
2025-03-12T13:22:00,BRFS3,BRF SA ON NM,"18,96","2,54","13,98","177,82 M"
2025-03-12T13:22:00,HAPV3,HAPVIDA ON NM,"2,10","1,94","-46,42","170,12 M"
2025-03-12T13:22:00,CSAN3,COSAN ON NM,"6,93","-0,71","-56,94","163,01 M"
2025-03-12T13:22:00,TIMS3,TIM ON NM,"16,74","1,02","-3,65","162,45 M"
2025-03-12T13:22:00,CSNA3,SID NACIONALON,"8,31","-1,54","-43,17","162,12 M"
2025-03-12T13:22:00,CPLE6,COPEL PNB N2,"9,94","0,70","2,49","155,75 M"
2025-03-12T13:22:00,RAIL3,RUMO S.A. ON NM,"17,42","0,17","-21,56","154,77 M"
2025-03-12T13:22:00,VIVA3,VIVARA S.A. ON NM,"17,81","-2,57","-43,07","150,05 M"
2025-03-12T13:22:00,CYRE3,CYRELA REALTON NM,"22,12","2,59","-9,20","145,21 M"
2025-03-12T13:22:00,NTCO3,GRUPO NATURAON NM,"13,50","3,68","-23,90","144,65 M"
2025-03-12T13:22:00,UGPA3,ULTRAPAR ON ED NM,"15,61","1,42","-43,04","136,9 M"
2025-03-12T13:22:00,BHIA3,CASAS BAHIA ON NM,"5,51","5,96","-32,30","135,17 M"
2025-03-12T13:22:00,DIRR3,DIRECIONAL ON NM,"29,67","2,02","34,84","133,98 M"
2025-03-12T13:22:00,COGN3,COGNA ON ON NM,"1,74","5,45","-37,63","133,1 M"
2025-03-12T13:22:00,CPFE3,CPFL ENERGIAON NM,"38,42","-1,86","22,65","127,69 M"
2025-03-12T13:22:00,CMIG4,CEMIG PN N1,"11,18","0,08","36,17","126,94 M"
2025-03-12T13:22:00,MRFG3,MARFRIG ON NM,"14,94","2,53","80,06","123,68 M"
2025-03-12T13:22:00,ENEV3,ENEVA ON NM,"12,10","-0,49","-3,35","123,12 M"
2025-03-12T13:22:00,BBAS3,BRASIL ON EX NM,"27,10","-0,21","2,33","122,8 M"
2025-03-12T13:22:00,ASAI3,ASSAI ON NM,"7,11","0,14","-51,00","121,39 M"
2025-03-12T13:22:00,GOAU4,GERDAU MET PN ED N1,"9,11","-0,54","-4,13","121,33 M"
2025-03-12T13:22:00,INBR32,INTER CO DR2,"31,11","3,70","3,63","115,53 M"
2025-03-12T13:22:00,BRAV3,BRAVA ON NM,"16,73","0,42","-42,41","115,39 M"
2025-03-12T13:22:00,VIVT3,TELEF BRASILON ER,"48,91","-0,06","1,31","110,21 M"
2025-03-12T13:22:00,MULT3,MULTIPLAN ON N2,"21,44","0,18","-15,05","108,27 M"
2025-03-12T13:22:00,HYPE3,HYPERA ON NM,"19,74","2,81","-39,13","104,39 M"
2025-03-12T13:22:00,CRFB3,CARREFOUR BRON NM,"7,46","0,00","-36,94","97,79 M"
2025-03-12T13:22:00,AMER3,AMERICANAS ON NM,"6,63","2,00","-87,94","96,79 M"
2025-03-12T13:22:00,BBDC3,BRADESCO ON EJ N1,"10,54","0,28","-8,98","85,8 M"
2025-03-12T13:22:00,PSSA3,PORTO SEGUROON NM,"37,46","0,45","25,06","85,51 M"
2025-03-12T13:22:00,CXSE3,CAIXA SEGURION NM,"15,07","-0,78","4,12","85,36 M"
2025-03-12T13:22:00,AURE3,AUREN ON NM,"7,51","0,13","-36,67","80,47 M"
2025-03-12T13:22:00,CEAB3,CEA MODAS ON NM,"10,47","1,06","11,28","80,45 M"
2025-03-12T13:22:00,IRBR3,IRBBRASIL REON NM,"45,35","0,95","12,11","79,87 M"
2025-03-12T13:22:00,ALOS3,ALLOS ON NM,"18,17","0,38","-19,26","77,42 M"
2025-03-12T13:22:00,ELET6,ELETROBRAS PNB N1,"42,85","0,28","-3,56","77,24 M"
2025-03-12T13:21:00,VLID3,VALID ON NM,"26,36","1,89","50,17","73,89 M"
2025-03-12T13:22:00,EGIE3,ENGIE BRASILON NM,"37,09","-0,18","-3,35","72,48 M"
2025-03-12T13:22:00,FLRY3,FLEURY ON ED NM,"10,81","0,93","-22,42","72,07 M"
2025-03-12T13:21:00,CLSA3,CLEARSALE ON NM,"10,42","0,00","170,64","70,78 M"
2025-03-12T13:22:00,SRNA3,SERENA ON NM,"7,92","-0,62","-11,31","70,41 M"
2025-03-12T13:22:00,STBP3,SANTOS BRP ON ED NM,"13,21","0,15","44,94","69,22 M"
2025-03-12T13:22:00,USIM5,USIMINAS PNA N1,"5,83","-0,85","-40,95","68,14 M"
2025-03-12T13:22:00,TEND3,TENDA ON NM,"14,29","1,99","27,99","62,65 M"
2025-03-12T13:22:00,SMFT3,SMART FIT ON NM,"19,17","1,00","-21,17","59,36 M"
2025-03-12T13:22:00,MRVE3,MRV ON NM,"4,66","0,86","-41,01","59,28 M"
2025-03-12T13:22:00,SLCE3,SLC AGRICOLAON NM,"18,90","0,53","4,49","54,46 M"
2025-03-12T13:22:00,CURY3,CURY S/A ON NM,"22,38","4,14","23,11","53,66 M"
2025-03-12T13:22:00,CMIN3,CSNMINERACAOON N2,"5,23","-0,75","0,46","52,67 M"
2025-03-12T13:22:00,LWSA3,LWSA ON NM,"2,74","0,00","-52,61","48,89 M"
2025-03-12T13:22:00,BRAP4,BRADESPAR PN N1,"16,66","-1,82","-7,89","47,85 M"
2025-03-12T13:22:00,RECV3,PETRORECSA ON NM,"15,62","-0,95","-19,35","46,99 M"
2025-03-12T13:22:00,AZUL4,AZUL PN N2,"3,76","0,00","-69,92","46,59 M"
2025-03-12T13:22:00,YDUQ3,YDUQS PART ON NM,"10,70","1,22","-48,80","45,45 M"
2025-03-12T13:21:00,NEOE3,NEOENERGIA ON NM,"20,02","1,46","-3,43","44,54 M"
2025-03-12T13:22:00,VAMO3,VAMOS ON NM,"3,78","0,26","-52,72","42,95 M"
2025-03-12T13:22:00,EZTC3,EZTEC ON NM,"13,20","0,15","-15,91","42,54 M"
2025-03-12T13:22:00,CVCB3,CVC BRASIL ON NM,"1,85","0,00","-45,42","40,77 M"
2025-03-12T13:22:00,SMTO3,SAO MARTINHOON NM,"21,21","0,28","-18,05","39,24 M"
2025-03-12T13:22:00,ECOR3,ECORODOVIAS ON NM,"5,24","0,00","-41,78","38,46 M"
2025-03-12T13:22:00,PGMN3,PAGUE MENOS ON NM,"2,96","5,71","12,90","37,36 M"
2025-03-12T13:22:00,CBAV3,CBA ON NM,"5,07","0,39","27,70","37,04 M"
2025-03-12T13:22:00,CPLE3,COPEL ON N2,"8,94","-0,22","3,10","36,56 M"
2025-03-12T13:22:00,BRKM5,BRASKEM PNA N1,"10,58","-1,02","-48,39","36,55 M"
2025-03-12T13:22:00,ISAE4,ISA ENERGIA PN EJ N1,"22,50","-0,97","-2,16","34,5 M"
2025-03-12T13:22:00,PETZ3,PETZ ON NM,"4,34","1,87","3,74","32,89 M"
2025-03-12T13:22:00,BEEF3,MINERVA ON NM,"4,83","2,76","-28,97","32,5 M"
2025-03-12T13:22:00,BRSR6,BANRISUL PNB N1,"11,10","3,06","-20,44","32,09 M"
2025-03-12T13:22:00,JHSF3,JHSF PART ON NM,"3,68","0,54","-7,30","30,36 M"
2025-03-12T13:22:00,GGPS3,GPS ON NM,"13,54","-0,80","-23,13","30,28 M"
2025-03-12T13:22:00,CSMG3,COPASA ON EDJ NM,"22,74","0,57","27,21","28,77 M"
2025-03-12T13:22:00,ITUB3,ITAUUNIBANCOON EJ N1,"28,98","-0,17","7,88","28,26 M"
2025-03-12T13:22:00,INTB3,INTELBRAS ON ED NM,"12,14","-1,05","-42,68","27,36 M"
2025-03-12T13:22:00,VULC3,VULCABRAS ON NM,"15,86","-3,87","-5,52","26,93 M"
2025-03-12T13:22:00,MOVI3,MOVIDA ON NM,"3,85","1,85","-56,50","26,55 M"
2025-03-12T13:22:00,ONCO3,ONCOCLINICASON NM,"5,21","-2,06","-49,07","25,74 M"
2025-03-12T13:22:00,ANIM3,ANIMA ON NM,"1,87","3,88","-59,05","24,77 M"
2025-03-12T13:22:00,PORT3,WILSON SONS ON NM,"16,80","0,17","-0,60","24,08 M"
2025-03-12T13:22:00,SBFG3,GRUPO SBF ON NM,"10,71","1,13","-14,77","23,94 M"
2025-03-12T13:22:00,SIMH3,SIMPAR ON NM,"3,40","0,89","-56,24","23,07 M"
2025-03-12T13:22:00,PCAR3,P.ACUCAR-CBDON NM,"2,43","2,10","-29,36","22,92 M"
2025-03-12T13:22:00,RAPT4,RANDON PART PN N1,"9,07","0,22","-19,63","22,73 M"
2025-03-12T13:21:00,MDIA3,M.DIASBRANCOON NM,"22,81","-2,27","-43,10","22,25 M"
2025-03-12T10:44:00,BCHI39,MSCI CHINA DRE,"40,48","-0,29","61,67","21,52 M"
2025-03-12T13:22:00,DXCO3,DEXCO ON NM,"5,62","-0,88","-30,68","19,22 M"
2025-03-12T13:22:00,KEPL3,KEPLER WEBERON NM,"7,37","-1,73","-22,95","19,18 M"
2025-03-12T13:22:00,GMAT3,GRUPO MATEUSON NM,"6,25","0,64","-21,10","18,83 M"
